Nivel                N=0                  N=1                  N=2                 
0                    1                    1                    1                   
1                    26                   26                   26                  
2                    676                  403                  403                 
3                    17576                5040                 4914                
4                    456976               57614                52753               
5                    11881376             639658               530056              
6                    308915776            7079228              5172373             
7                    8031810176           78662142             50079362            
