Nivel                N=0                  N=1                  N=2                 
0                    1                    1                    1                   
1                    16                   16                   16                  
2                    256                  168                  168                 
3                    4096                 1560                 1504                
4                    65536                14029                12668               
5                    1048576              125356               104534              
6                    16777216             1119306              858166              
7                    268435456            9995252              7041922             
