algorithm, domain, instance, cost, generated, time, gen_per_sec 
dfid , pancake16 ,  "3 2 1 0 6 7 8 9 10 11 12 13 4 5 14 15 ", 3, 2521, 6.5e-05, 3.87846e+07
dfid , pancake16 ,  "13 4 15 6 7 12 10 3 5 1 9 2 11 14 0 8" ,NA, NA, NA, NA
dfid , pancake16 ,  "14 7 0 5 13 4 10 15 12 6 2 8 3 9 11 1" ,NA, NA, NA, NA
dfid , pancake16 ,  "0 1 2 6 5 4 3 7 8 9 10 11 12 13 14 15 ", 3, 1331, 2.9e-05, 4.58966e+07
dfid , pancake16 ,  "12 3 2 1 0 6 7 8 9 4 11 10 5 13 14 15 ", 6, 7098681, 0.095001, 7.47222e+07
dfid , pancake16 ,  "14 12 10 15 13 5 4 3 6 11 8 7 0 1 2 9" ,NA, NA, NA, NA
dfid , pancake16 ,  "6 7 8 9 10 12 13 3 2 11 14 15 5 4 1 0 ", 8, 525566949, 7.54873, 6.96232e+07
dfid , pancake16 ,  "13 12 6 10 7 9 4 1 2 15 8 11 0 5 3 14" ,NA, NA, NA, NA
dfid , pancake16 ,  "3 2 1 0 4 5 11 10 9 8 7 6 12 13 14 15 ", 4, 11269, 0.000195, 5.77897e+07
dfid , pancake16 ,  "7 6 5 4 3 1 0 2 8 9 10 11 12 13 14 15 ", 3, 1523, 5.7e-05, 2.67193e+07
dfid , pancake16 ,  "10 9 8 7 6 5 4 3 11 2 0 1 12 13 14 15 ", 4, 22518, 0.000566, 3.97845e+07
dfid , pancake16 ,  "12 3 10 9 14 2 5 8 11 1 7 6 13 0 4 15" ,NA, NA, NA, NA
dfid , pancake16 ,  "4 1 2 3 9 8 7 13 0 12 10 11 14 15 5 6" ,NA, NA, NA, NA
dfid , pancake16 ,  "5 7 8 0 9 15 14 13 12 11 10 6 1 2 3 4 ", 8, 257180972, 3.50619, 7.33505e+07
dfid , pancake16 ,  "3 4 13 12 11 10 9 8 7 6 5 0 1 2 14 15 ", 4, 31622, 0.00043, 7.35395e+07
dfid , pancake16 ,  "12 13 14 11 10 9 8 7 6 5 4 3 2 1 0 15 ", 2, 44, 3e-06, 1.46667e+07
dfid , pancake16 ,  "6 3 2 1 0 7 8 9 10 11 12 13 14 15 5 4 ", 4, 41603, 0.000603, 6.89934e+07
dfid , pancake16 ,  "15 14 13 9 10 8 7 6 5 4 3 2 1 0 11 12 ", 4, 47078, 0.000729, 6.45789e+07
dfid , pancake16 ,  "12 9 10 5 6 4 1 0 2 11 13 7 8 3 14 15" ,NA, NA, NA, NA
dfid , pancake16 ,  "11 10 9 8 7 6 5 12 13 15 14 4 3 2 1 0 ", 4, 19864, 0.000228, 8.71228e+07
dfid , pancake16 ,  "5 4 2 13 11 14 15 10 9 3 6 8 1 12 0 7" ,NA, NA, NA, NA
dfid , pancake16 ,  "4 3 2 1 0 5 13 12 11 10 9 8 7 6 14 15 ", 4, 14677, 0.000354, 4.14605e+07
dfid , pancake16 ,  "6 5 4 3 0 1 2 7 8 9 10 11 12 13 14 15 ", 2, 93, 3e-06, 3.1e+07
dfid , pancake16 ,  "2 3 6 4 14 12 13 10 5 15 1 7 0 8 9 11" ,NA, NA, NA, NA
dfid , pancake16 ,  "4 5 6 3 2 1 0 14 9 10 11 12 13 8 7 15 ", 6, 1486581, 0.017742, 8.37888e+07
dfid , pancake16 ,  "6 7 8 9 10 11 12 13 14 5 4 3 0 1 2 15 ", 3, 1900, 2.3e-05, 8.26087e+07
dfid , pancake16 ,  "4 3 11 1 7 6 5 0 12 13 2 14 10 9 8 15" ,NA, NA, NA, NA
dfid , pancake16 ,  "7 15 14 1 0 8 9 10 11 5 6 12 2 4 3 13" ,NA, NA, NA, NA
dfid , pancake16 ,  "0 3 12 13 14 11 10 9 8 7 6 5 4 2 1 15 ", 6, 2922199, 0.035873, 8.14596e+07
