algorithm, heuristic, weight, domain, instance, cost, h0, generated, time, gen_per_sec
WIDA*, manhattan, 2, 15puzzle, "7 15 8 2 13 6 3 12 11 B 4 10 9 5 1 14", 71, 82, 262274, 0.019592, 1.33868e+07
WIDA*, manhattan, 2, 15puzzle, "14 13 15 7 11 12 9 5 6 B 2 1 4 8 10 3", 73, 82, 1932602, 0.070475, 2.74225e+07
WIDA*, manhattan, 2, 15puzzle, "13 5 4 10 9 12 8 14 2 3 7 1 B 15 11 6", 79, 86, 127206, 0.011224, 1.13334e+07
WIDA*, manhattan, 2, 15puzzle, "14 7 8 2 13 11 10 4 9 12 5 B 3 6 1 15", 77, 82, 347821, 0.022282, 1.561e+07
WIDA*, manhattan, 2, 15puzzle, "5 12 10 7 15 11 14 B 8 2 1 13 3 4 9 6", 80, 84, 1532427, 0.06518, 2.35107e+07
WIDA*, manhattan, 2, 15puzzle, "4 7 14 13 10 3 9 12 11 5 6 15 1 2 8 B", 76, 84, 480798, 0.017193, 2.79648e+07
WIDA*, manhattan, 2, 15puzzle, "14 7 1 9 12 3 6 15 8 11 2 5 10 B 4 13", 68, 72, 4430, 0.000169, 2.6213e+07
WIDA*, manhattan, 2, 15puzzle, "2 11 15 5 13 4 6 7 12 8 10 1 9 3 14 B", 56, 60, 250968, 0.021911, 1.1454e+07
WIDA*, manhattan, 2, 15puzzle, "12 11 15 3 8 B 4 2 6 13 9 5 14 1 10 7", 62, 64, 709336, 0.038182, 1.85778e+07
WIDA*, manhattan, 2, 15puzzle, "3 14 9 11 5 4 8 2 13 12 6 7 10 1 15 B", 58, 64, 20690, 0.00191, 1.08325e+07
WIDA*, manhattan, 2, 15puzzle, "13 11 8 9 B 15 7 10 4 3 6 14 5 12 2 1", 75, 86, 47548, 0.004291, 1.10809e+07
WIDA*, manhattan, 2, 15puzzle, "5 9 13 14 6 3 7 12 10 8 4 B 15 2 11 1", 77, 86, 81388, 0.007276, 1.11858e+07
WIDA*, manhattan, 2, 15puzzle, "14 1 9 6 4 8 12 5 7 2 3 B 10 11 13 15", 65, 70, 1911, 0.000188, 1.01649e+07
WIDA*, manhattan, 2, 15puzzle, "3 6 5 2 10 B 15 14 1 4 13 12 9 8 11 7", 62, 72, 1669, 0.000172, 9.70349e+06
WIDA*, manhattan, 2, 15puzzle, "7 6 8 1 11 5 14 10 3 4 9 13 15 2 B 12", 75, 82, 2793155, 0.115483, 2.41867e+07
WIDA*, manhattan, 2, 15puzzle, "13 11 4 12 1 8 9 15 6 5 14 2 7 3 10 B", 84, 88, 37217, 0.003362, 1.10699e+07
WIDA*, manhattan, 2, 15puzzle, "1 3 2 5 10 9 15 6 8 14 13 11 12 4 7 B", 48, 48, 678389, 0.029383, 2.30878e+07
WIDA*, manhattan, 2, 15puzzle, "15 14 B 4 11 1 6 13 7 5 8 9 3 2 10 12", 86, 92, 109944, 0.009791, 1.12291e+07
WIDA*, manhattan, 2, 15puzzle, "6 B 14 12 1 15 9 10 11 4 7 2 8 3 5 13", 81, 86, 39450, 0.003514, 1.12265e+07
WIDA*, manhattan, 2, 15puzzle, "7 11 8 3 14 B 6 15 1 4 13 9 5 12 2 10", 64, 72, 9878, 0.000873, 1.1315e+07
WIDA*, manhattan, 2, 15puzzle, "6 12 11 3 13 7 9 15 2 14 8 10 4 1 5 B", 70, 72, 23289, 0.002101, 1.10847e+07
WIDA*, manhattan, 2, 15puzzle, "12 8 14 6 11 4 7 B 5 1 10 15 3 13 9 2", 58, 68, 17997, 0.001612, 1.11644e+07
WIDA*, manhattan, 2, 15puzzle, "14 3 9 1 15 8 4 5 11 7 10 13 B 2 12 6", 73, 82, 3809, 0.000401, 9.49875e+06
WIDA*, manhattan, 2, 15puzzle, "10 9 3 11 B 13 2 14 5 6 4 7 8 15 1 12", 57, 66, 85688, 0.007587, 1.12941e+07
WIDA*, manhattan, 2, 15puzzle, "7 3 14 13 4 1 10 8 5 12 9 11 2 15 6 B", 60, 68, 6657, 0.000601, 1.10765e+07
WIDA*, manhattan, 2, 15puzzle, "11 4 2 7 1 B 10 15 6 9 14 8 3 13 5 12", 56, 64, 5541, 0.000519, 1.06763e+07
WIDA*, manhattan, 2, 15puzzle, "5 7 3 12 15 13 14 8 B 10 9 6 1 4 2 11", 68, 80, 580851, 0.032394, 1.79308e+07
WIDA*, manhattan, 2, 15puzzle, "14 1 8 15 2 6 B 3 9 12 10 13 4 7 5 11", 59, 66, 70902, 0.006356, 1.11551e+07
WIDA*, manhattan, 2, 15puzzle, "13 14 6 12 4 5 1 B 9 3 10 2 15 11 8 7", 68, 72, 6829, 0.000628, 1.08742e+07
WIDA*, manhattan, 2, 15puzzle, "9 8 B 2 15 1 4 14 3 10 7 5 11 13 6 12", 70, 76, 350903, 0.024423, 1.43677e+07
WIDA*, manhattan, 2, 15puzzle, "12 15 2 6 1 14 4 8 5 3 7 B 10 13 9 11", 59, 70, 6977, 0.00068, 1.02603e+07
WIDA*, manhattan, 2, 15puzzle, "12 8 15 13 1 B 5 4 6 3 2 11 9 7 14 10", 68, 76, 17756, 0.001619, 1.09673e+07
WIDA*, manhattan, 2, 15puzzle, "14 10 9 4 13 6 5 8 2 12 7 B 1 3 11 15", 79, 86, 188691, 0.016617, 1.13553e+07
WIDA*, manhattan, 2, 15puzzle, "14 3 5 15 11 6 13 9 B 10 2 12 4 1 7 8", 80, 84, 145141, 0.005325, 2.72565e+07
WIDA*, manhattan, 2, 15puzzle, "6 11 7 8 13 2 5 4 1 10 3 9 14 B 12 15", 66, 72, 54810, 0.004917, 1.1147e+07
WIDA*, manhattan, 2, 15puzzle, "1 6 12 14 3 2 15 8 4 5 13 9 B 7 11 10", 77, 78, 353996, 0.026112, 1.35568e+07
WIDA*, manhattan, 2, 15puzzle, "12 6 B 4 7 3 15 1 13 9 8 11 2 14 5 10", 62, 72, 22931, 0.002098, 1.09299e+07
WIDA*, manhattan, 2, 15puzzle, "8 1 7 12 11 B 10 5 9 15 6 13 14 2 3 4", 76, 80, 535346, 0.034187, 1.56593e+07
WIDA*, manhattan, 2, 15puzzle, "9 B 4 10 1 14 15 3 12 6 5 7 11 13 8 2", 63, 70, 19697, 0.000753, 2.6158e+07
WIDA*, manhattan, 2, 15puzzle, "11 5 1 14 4 12 10 B 2 7 13 3 9 15 6 8", 66, 72, 110105, 0.003988, 2.76091e+07
WIDA*, manhattan, 2, 15puzzle, "8 13 10 9 11 3 15 6 B 1 2 14 12 5 4 7", 62, 72, 90139, 0.008116, 1.11063e+07
WIDA*, manhattan, 2, 15puzzle, "4 5 7 2 9 14 12 13 B 3 6 11 8 1 15 10", 56, 60, 50422, 0.00455, 1.10818e+07
WIDA*, manhattan, 2, 15puzzle, "11 15 14 13 1 9 10 4 3 6 2 12 7 5 8 B", 88, 96, 1546280, 0.065071, 2.3763e+07
WIDA*, manhattan, 2, 15puzzle, "12 9 B 6 8 3 5 14 2 4 11 7 10 1 15 13", 60, 64, 1943924, 0.085703, 2.26821e+07
WIDA*, manhattan, 2, 15puzzle, "3 14 9 7 12 15 B 4 1 8 5 6 11 10 2 13", 65, 78, 226102, 0.01116, 2.026e+07
WIDA*, manhattan, 2, 15puzzle, "8 4 6 1 14 12 2 15 13 10 9 5 3 7 B 11", 61, 70, 7887, 0.000706, 1.11714e+07
WIDA*, manhattan, 2, 15puzzle, "6 10 1 14 15 8 3 5 13 B 2 7 4 9 11 12", 61, 70, 4467, 0.000425, 1.05106e+07
WIDA*, manhattan, 2, 15puzzle, "8 11 4 6 7 3 10 9 2 12 15 13 B 1 5 14", 71, 78, 17325, 0.00158, 1.09652e+07
WIDA*, manhattan, 2, 15puzzle, "10 B 2 4 5 1 6 12 11 13 9 7 15 3 14 8", 63, 66, 11772, 0.001114, 1.05673e+07
WIDA*, manhattan, 2, 15puzzle, "12 5 13 11 2 10 B 9 7 8 4 3 14 6 15 1", 71, 78, 19155, 0.001786, 1.07251e+07
WIDA*, manhattan, 2, 15puzzle, "10 2 8 4 15 B 1 14 11 13 3 6 9 7 5 12", 82, 88, 3347, 0.000325, 1.02985e+07
WIDA*, manhattan, 2, 15puzzle, "10 8 B 12 3 7 6 2 1 14 4 11 15 13 9 5", 68, 76, 272027, 0.022004, 1.23626e+07
WIDA*, manhattan, 2, 15puzzle, "14 9 12 13 15 4 8 10 B 2 1 7 3 11 5 6", 94, 100, 1396509, 0.069022, 2.02328e+07
WIDA*, manhattan, 2, 15puzzle, "12 11 B 8 10 2 13 15 5 4 7 3 6 9 14 1", 72, 80, 311562, 0.013633, 2.28535e+07
WIDA*, manhattan, 2, 15puzzle, "13 8 14 3 9 1 B 7 15 5 4 10 12 2 6 11", 53, 58, 73270, 0.006399, 1.14502e+07
WIDA*, manhattan, 2, 15puzzle, "3 15 2 5 11 6 4 7 12 9 1 B 13 14 10 8", 57, 58, 1272628, 0.057313, 2.22049e+07
WIDA*, manhattan, 2, 15puzzle, "5 11 6 9 4 13 12 B 8 2 15 10 1 7 3 14", 64, 72, 38773, 0.003517, 1.10245e+07
WIDA*, manhattan, 2, 15puzzle, "5 B 15 8 4 6 1 14 10 11 3 9 7 12 2 13", 71, 74, 37569, 0.003362, 1.11746e+07
