algorithm, heuristic, weight, domain, instance, cost, h0, generated, time, gen_per_sec
WIDA*, manhattan, 1.5, 15puzzle,"9 B 4 10 1 14 15 3 12 6 5 7 11 13 8 2", 49, 52.5, 84392, 0.0112709, 7.48757e+06
WIDA*, manhattan, 1.5, 15puzzle,"11 5 1 14 4 12 10 B 2 7 13 3 9 15 6 8", 58, 54, 2336334, 0.124477, 1.87692e+07
WIDA*, manhattan, 1.5, 15puzzle,"8 13 10 9 11 3 15 6 B 1 2 14 12 5 4 7", 58, 54, 356369, 0.020549, 1.73424e+07
WIDA*, manhattan, 1.5, 15puzzle,"4 5 7 2 9 14 12 13 B 3 6 11 8 1 15 10", 48, 45, 70001, 0.0109867, 6.37144e+06
WIDA*, manhattan, 1.5, 15puzzle,"11 15 14 13 1 9 10 4 3 6 2 12 7 5 8 B", 70, 72, 9919, 0.00191962, 5.16717e+06
WIDA*, manhattan, 1.5, 15puzzle,"12 9 B 6 8 3 5 14 2 4 11 7 10 1 15 13", 50, 48, 2342946, 0.13173, 1.7786e+07
WIDA*, manhattan, 1.5, 15puzzle,"3 14 9 7 12 15 B 4 1 8 5 6 11 10 2 13", 57, 58.5, 50014, 0.00942639, 5.30574e+06
WIDA*, manhattan, 1.5, 15puzzle,"8 4 6 1 14 12 2 15 13 10 9 5 3 7 B 11", 51, 52.5, 284184, 0.0213086, 1.33366e+07
WIDA*, manhattan, 1.5, 15puzzle,"6 10 1 14 15 8 3 5 13 B 2 7 4 9 11 12", 51, 52.5, 157309, 0.0162827, 9.66111e+06
WIDA*, manhattan, 1.5, 15puzzle,"8 11 4 6 7 3 10 9 2 12 15 13 B 1 5 14", 55, 58.5, 95965, 0.0107961, 8.88884e+06
WIDA*, manhattan, 1.5, 15puzzle,"10 B 2 4 5 1 6 12 11 13 9 7 15 3 14 8", 59, 49.5, 2559410, 0.140498, 1.82167e+07
WIDA*, manhattan, 1.5, 15puzzle,"12 5 13 11 2 10 B 9 7 8 4 3 14 6 15 1", 59, 58.5, 825796, 0.0448761, 1.84017e+07
WIDA*, manhattan, 1.5, 15puzzle,"10 2 8 4 15 B 1 14 11 13 3 6 9 7 5 12", 60, 66, 610084, 0.0363794, 1.677e+07
WIDA*, manhattan, 1.5, 15puzzle,"10 8 B 12 3 7 6 2 1 14 4 11 15 13 9 5", 60, 57, 2219649, 0.118061, 1.88009e+07
WIDA*, manhattan, 1.5, 15puzzle,"14 9 12 13 15 4 8 10 B 2 1 7 3 11 5 6", 70, 75, 2095918, 0.118947, 1.76205e+07
WIDA*, manhattan, 1.5, 15puzzle,"12 11 B 8 10 2 13 15 5 4 7 3 6 9 14 1", 60, 60, 695055, 0.0397128, 1.75021e+07
WIDA*, manhattan, 1.5, 15puzzle,"13 8 14 3 9 1 B 7 15 5 4 10 12 2 6 11", 47, 43.5, 115232, 0.0178281, 6.4635e+06
WIDA*, manhattan, 1.5, 15puzzle,"3 15 2 5 11 6 4 7 12 9 1 B 13 14 10 8", 55, 43.5, 23989826, 1.25167, 1.91662e+07
WIDA*, manhattan, 1.5, 15puzzle,"5 11 6 9 4 13 12 B 8 2 15 10 1 7 3 14", 52, 54, 78459, 0.0109685, 7.1531e+06
WIDA*, manhattan, 1.5, 15puzzle,"5 B 15 8 4 6 1 14 10 11 3 9 7 12 2 13", 51, 55.5, 329233, 0.026217, 1.2558e+07
WIDA*, manhattan, 1.5, 15puzzle,"15 14 6 7 10 1 B 11 12 8 4 9 2 5 13 3", 59, 52.5, 21449045, 1.12113, 1.91317e+07
WIDA*, manhattan, 1.5, 15puzzle,"11 14 13 1 2 3 12 4 15 7 9 5 10 6 8 B", 72, 72, 1195504, 0.074142, 1.61245e+07
WIDA*, manhattan, 1.5, 15puzzle,"6 13 3 2 11 9 5 10 1 7 12 14 8 4 B 15", 47, 46.5, 540816, 0.031355, 1.72481e+07
WIDA*, manhattan, 1.5, 15puzzle,"4 6 12 B 14 2 9 13 11 8 3 15 7 10 1 5", 61, 64.5, 148893, 0.0143971, 1.03419e+07
WIDA*, manhattan, 1.5, 15puzzle,"8 10 9 11 14 1 7 15 13 4 B 12 6 2 5 3", 58, 60, 96119312, 5.08093, 1.89177e+07
WIDA*, manhattan, 1.5, 15puzzle,"5 2 14 B 7 8 6 3 11 12 13 15 4 10 9 1", 53, 46.5, 8864731, 0.454954, 1.94849e+07
WIDA*, manhattan, 1.5, 15puzzle,"7 8 3 2 10 12 4 6 11 13 5 15 B 1 9 14", 49, 46.5, 222699, 0.0220216, 1.01128e+07
WIDA*, manhattan, 1.5, 15puzzle,"11 6 14 12 3 5 1 15 8 B 10 13 9 7 4 2", 65, 61.5, 3800604, 0.20281, 1.87397e+07
WIDA*, manhattan, 1.5, 15puzzle,"7 1 2 4 8 3 6 11 10 15 B 5 14 12 13 9", 50, 42, 4922793, 0.261015, 1.88602e+07
WIDA*, manhattan, 1.5, 15puzzle,"7 3 1 13 12 10 5 2 8 B 6 11 14 15 4 9", 53, 46.5, 2720501, 0.145095, 1.87498e+07
WIDA*, manhattan, 1.5, 15puzzle,"6 B 5 15 1 14 4 9 2 13 8 10 11 12 7 3", 57, 55.5, 2878522, 0.155822, 1.84731e+07
WIDA*, manhattan, 1.5, 15puzzle,"15 1 3 12 4 B 6 5 2 8 14 9 13 10 7 11", 54, 45, 2956233, 0.164978, 1.79189e+07
WIDA*, manhattan, 1.5, 15puzzle,"5 7 B 11 12 1 9 10 15 6 2 3 8 4 13 14", 46, 45, 1223341, 0.0690829, 1.77083e+07
WIDA*, manhattan, 1.5, 15puzzle,"12 15 11 10 4 5 14 B 13 7 1 2 9 8 3 6", 58, 57, 27791252, 1.46889, 1.892e+07
WIDA*, manhattan, 1.5, 15puzzle,"6 14 10 5 15 8 7 1 3 4 2 B 12 9 11 13", 55, 55.5, 22038, 0.00403715, 5.4588e+06
WIDA*, manhattan, 1.5, 15puzzle,"14 13 4 11 15 8 6 9 B 7 3 1 2 10 12 5", 64, 69, 417158, 0.0247287, 1.68694e+07
WIDA*, manhattan, 1.5, 15puzzle,"14 4 B 10 6 5 1 3 9 2 13 15 12 7 8 11", 50, 45, 5915093, 0.311946, 1.89619e+07
WIDA*, manhattan, 1.5, 15puzzle,"15 10 8 3 B 6 9 5 1 14 13 11 7 2 12 4", 63, 61.5, 4618680, 0.240156, 1.9232e+07
WIDA*, manhattan, 1.5, 15puzzle,"B 13 2 4 12 14 6 9 15 1 10 3 11 5 8 7", 60, 51, 713771, 0.0386738, 1.84562e+07
WIDA*, manhattan, 1.5, 15puzzle,"3 14 13 6 4 15 8 9 5 12 10 B 2 7 1 11", 59, 61.5, 34973, 0.00441733, 7.91723e+06
WIDA*, manhattan, 1.5, 15puzzle,"B 1 9 7 11 13 5 3 14 12 4 2 8 6 10 15", 46, 42, 159212, 0.0160022, 9.94935e+06
