Depth                Moves                BranchingFactor     
0                    1                    2.00000000000000000000
1                    2                    2.00000000000000000000
2                    4                    2.25000000000000000000
3                    9                    2.22222222222222222222
4                    20                   1.85000000000000000000
5                    37                   1.72972972972972972972
6                    64                   2.00000000000000000000
7                    128                  1.99218750000000000000
8                    255                  1.92549019607843137254
9                    491                  1.90835030549898167006
10                   937                  1.92315901814300960512
11                   1802                 1.94617092119866814650
12                   3507                 1.92757342457941260336
13                   6760                 1.92307692307692307692
14                   13000                1.93407692307692307692
15                   25143                1.93369924034522531121
16                   48619                1.92840247639811596289
17                   93757                1.92696012031101677741
18                   180666               1.93118240288709552433
19                   348899               1.93276564277914238791
20                   674340               1.93276564277914238791
Branching Factor Empírico (Promedio): 1.95925235231624487335
1.95925235231624487335
