Depth                Moves                BranchingFactor     
0                    1                    2.00000000000000000000
1                    2                    2.00000000000000000000
2                    4                    2.50000000000000000000
3                    10                   2.40000000000000000000
4                    24                   2.25000000000000000000
5                    54                   2.00000000000000000000
6                    108                  2.01851851851851851851
7                    218                  2.16513761467889908256
8                    472                  2.18220338983050847457
9                    1030                 2.13980582524271844660
10                   2204                 2.11705989110707803992
11                   4666                 2.11744534933561937419
12                   9880                 2.13016194331983805668
13                   21046                2.13684310557825715100
14                   44972                2.13310504313795250378
15                   95930                2.12880225164182216199
16                   204216               2.12859913033258902338
17                   434694               2.13018813234137117144
18                   925980               2.13108058489384219961
19                   1973338              2.13083415005437487141
20                   4204856              2.13083415005437487141
Branching Factor Empírico (Promedio): 2.14698924650066945378
2.14698924650066945378
