Depth                Moves                BranchingFactor     
0                    1                    2.00000000000000000000
1                    2                    3.00000000000000000000
2                    6                    2.83333333333333333333
3                    17                   3.11764705882352941176
4                    53                   2.96226415094339622641
5                    157                  3.07643312101910828025
6                    483                  3.00207039337474120082
7                    1450                 3.05241379310344827586
8                    4426                 3.01875282422051513782
9                    13361                3.04131427288376618516
10                   40635                3.02618432385874246339
11                   122969               3.03631809643080776455
12                   373373               3.02952275606431102409
13                   1131142              3.03407529735435515611
14                   3431970              3.03102328983062206254
15                   10402381             3.03306839078476360364
16                   31551133             3.03169756217629332043
17                   95653493             3.03261622657104639137
18                   290080335            3.03200049048481690425
19                   879523718            3.03241314749854193244
20                   2667079286           3.03241314749854193244
Branching Factor Empírico (Promedio): 2.97115742643780693371
2.97115742643780693371
