algorithm, heuristic, domain, instance, cost, h0, generated, time, gen_per_sec
IDA*, PDB555, 15puzzle,"9 7 5 2 14 15 12 10 11 3 6 1 8 13 B 4", 57, 43, 89584723, 12.2521, 7.31179e+06
IDA*, PDB555, 15puzzle,"3 2 7 9 B 15 12 4 6 11 5 14 8 13 10 1", 57, 37, 423046043, 58.1935, 7.26965e+06
IDA*, PDB555, 15puzzle,"13 9 14 6 12 8 1 2 3 4 B 7 5 10 11 15", 46, 34, 3455424, 0.47059, 7.34275e+06
IDA*, PDB555, 15puzzle,"5 7 11 8 B 14 9 13 10 12 3 15 6 1 4 2", 53, 45, 578034, 0.082758, 6.98463e+06
IDA*, PDB555, 15puzzle,"4 3 6 13 7 15 9 B 10 5 8 11 2 12 1 14", 50, 34, 5252006, 0.725051, 7.24364e+06
IDA*, PDB555, 15puzzle,"1 7 15 14 2 6 4 9 12 11 13 3 B 8 5 10", 49, 35, 3163653, 0.435376, 7.26648e+06
IDA*, PDB555, 15puzzle,"9 14 5 7 8 15 1 2 10 4 13 6 12 B 11 3", 44, 34, 402255, 0.05638, 7.13471e+06
IDA*, PDB555, 15puzzle,"B 11 3 12 5 2 1 9 8 10 14 15 7 4 13 6", 54, 36, 24956988, 3.36857, 7.40877e+06
IDA*, PDB555, 15puzzle,"7 15 4 B 10 9 2 5 12 11 13 6 1 3 14 8", 57, 39, 33435785, 4.69203, 7.12609e+06
IDA*, PDB555, 15puzzle,"11 4 B 8 6 10 5 13 12 7 14 3 1 2 9 15", 54, 40, 9929678, 1.37775, 7.2072e+06
