algorithm, heuristic, domain, instance, cost, h0, generated, time, gen_per_sec
IDA*, gap, pancake28,"21 24 5 25 16 13 15 1 26 7 2 0 22 19 9 10 17 20 23 4 14 12 8 27 11 6 3 18", 27, 27, 13972, 0.005275, 2.64872e+06
IDA*, gap, pancake28,"14 5 1 22 26 19 12 21 27 11 4 25 0 10 7 9 18 24 13 6 8 2 23 16 15 20 3 17", 28, 27, 144863, 0.034341, 4.21837e+06
IDA*, gap, pancake28,"5 11 2 18 17 6 19 27 20 15 22 4 23 1 14 26 0 7 10 21 16 3 24 12 8 25 13 9", 28, 27, 44492, 0.014118, 3.15144e+06
IDA*, gap, pancake28,"24 16 13 19 25 14 23 4 8 5 7 20 22 10 2 27 3 17 18 21 15 0 26 6 1 9 11 12", 27, 26, 31335, 0.011167, 2.80604e+06
IDA*, gap, pancake28,"16 3 11 8 7 23 21 5 26 15 24 12 20 22 10 6 14 17 13 1 18 2 19 25 0 9 27 4", 28, 27, 136582, 0.032945, 4.14576e+06
IDA*, gap, pancake28,"21 6 1 22 0 12 9 23 18 27 15 10 4 26 16 7 20 3 13 14 17 5 24 2 11 8 19 25", 28, 27, 165323, 0.045056, 3.66928e+06
IDA*, gap, pancake28,"21 22 11 15 10 12 9 25 17 16 24 2 7 3 19 1 26 4 18 27 5 20 14 8 13 23 0 6", 27, 26, 129888, 0.034352, 3.78109e+06
IDA*, gap, pancake28,"1 18 22 14 13 2 23 8 25 0 21 17 24 5 12 11 15 27 3 10 20 16 19 9 4 26 6 7", 26, 25, 44042, 0.008419, 5.23126e+06
IDA*, gap, pancake28,"3 1 23 18 10 0 12 15 4 21 20 9 27 13 24 14 26 19 8 7 5 25 22 6 16 17 11 2", 25, 25, 13690, 0.005175, 2.64541e+06
IDA*, gap, pancake28,"27 12 13 9 10 19 4 20 25 14 16 2 21 15 7 18 3 5 17 1 8 0 26 11 22 6 23 24", 26, 25, 40703, 0.013271, 3.06706e+06
IDA*, gap, pancake28,"2 15 25 27 13 12 21 22 9 17 23 7 20 4 5 3 11 0 8 10 26 14 24 16 6 1 19 18", 25, 24, 193743, 0.041929, 4.62074e+06
IDA*, gap, pancake28,"15 0 21 22 12 3 6 23 4 5 10 26 11 19 18 17 14 16 24 25 27 9 20 8 7 1 13 2", 23, 22, 4743, 0.0015, 3.162e+06
IDA*, gap, pancake28,"16 10 22 25 2 4 20 1 12 14 11 26 5 24 17 3 15 18 0 19 21 23 8 6 7 9 27 13", 27, 27, 12702, 0.003816, 3.32862e+06
IDA*, gap, pancake28,"20 21 0 9 15 1 11 25 16 18 17 10 19 27 3 22 24 26 14 13 2 6 8 12 5 23 4 7", 26, 25, 1091323, 0.243789, 4.47651e+06
IDA*, gap, pancake28,"12 1 8 11 14 18 16 23 10 19 17 3 0 21 7 27 6 13 9 2 25 26 24 20 15 5 4 22", 26, 26, 13115, 0.005053, 2.59549e+06
IDA*, gap, pancake28,"15 18 0 27 16 26 6 7 25 4 2 17 9 19 24 11 12 13 5 3 10 20 21 8 1 22 23 14", 24, 23, 68812, 0.018629, 3.69381e+06
IDA*, gap, pancake28,"9 2 1 11 6 7 14 25 12 10 18 8 24 17 3 4 20 26 15 0 16 19 13 22 27 21 5 23", 25, 25, 8698, 0.002945, 2.95348e+06
IDA*, gap, pancake28,"11 16 0 24 6 22 25 17 9 20 21 14 15 26 1 3 12 8 23 2 5 10 27 4 7 13 18 19", 26, 25, 241341, 0.056177, 4.29608e+06
IDA*, gap, pancake28,"4 15 0 8 2 27 22 21 7 26 13 17 3 11 20 24 1 23 25 5 18 14 9 16 6 10 12 19", 28, 27, 70658, 0.016563, 4.26601e+06
