 dfid , topSpinCompact16_4 , "3 4 5 9 8 7 12 11 10 6 13 0 1 2 14 15", 4, 10627, 0.00016, 6.64187e+07
 dfid , topSpinCompact16_4 , "0 1 2 3 4 8 7 6 5 12 11 10 9 13 14 15", 2, 103, 5e-06, 2.06e+07
 dfid , topSpinCompact16_4 , "11 3 13 1 6 4 5 12 9 0 7 10 14 8 2 15", na, na, na, na
 dfid , topSpinCompact16_4 , "1 0 4 5 9 11 10 8 13 2 6 7 3 14 12 15", na, na, na, na
 dfid , topSpinCompact16_4 , "14 1 0 13 4 3 2 10 11 12 9 8 7 5 6 15", 10, 2343768719, 44.0981, 5.3149e+07
 dfid , topSpinCompact16_4 , "3 2 1 0 4 11 9 5 8 10 7 13 12 6 14 15", 8, 12923633, 0.211952, 6.09743e+07
 dfid , topSpinCompact16_4 , "0 1 2 6 7 3 4 5 10 11 12 8 9 13 14 15", 4, 8368, 0.000134, 6.24478e+07
 dfid , topSpinCompact16_4 , "3 0 7 6 2 1 5 4 8 9 10 11 12 13 14 15", 4, 3583, 5.6e-05, 6.39821e+07
 dfid , topSpinCompact16_4 , "1 11 2 12 10 6 14 4 8 9 0 3 13 5 7 15", na, na, na, na
 dfid , topSpinCompact16_4 , "8 3 5 12 11 7 10 6 2 4 1 14 13 9 0 15", na, na, na, na
 dfid , topSpinCompact16_4 , "4 5 8 9 10 11 12 2 1 0 13 14 3 7 6 15", 6, 836681, 0.02187, 3.8257e+07
 dfid , topSpinCompact16_4 , "0 10 3 2 1 6 5 4 7 8 9 12 11 13 14 15", 6, 287934, 0.008059, 3.57283e+07
 dfid , topSpinCompact16_4 , "14 12 10 13 7 8 9 11 0 2 1 6 3 4 5 15", na, na, na, na
 dfid , topSpinCompact16_4 , "2 9 3 7 1 10 11 4 8 5 14 13 12 6 0 15", 8, 19229585, 0.368746, 5.21486e+07
 dfid , topSpinCompact16_4 , "2 3 4 7 8 12 5 6 11 10 9 14 13 1 0 15", 6, 496106, 0.010884, 4.55812e+07
 dfid , topSpinCompact16_4 , "3 4 7 14 10 9 8 13 12 11 2 6 5 0 1 15", 6, 517217, 0.010902, 4.74424e+07
 dfid , topSpinCompact16_4 , "0 5 10 14 13 4 3 11 7 12 8 9 6 1 2 15", 8, 18669776, 0.419263, 4.453e+07
 dfid , topSpinCompact16_4 , "8 9 5 4 3 13 14 12 0 1 7 11 2 6 10 15", na, na, na, na
 dfid , topSpinCompact16_4 , "0 6 11 13 7 1 12 3 4 5 9 14 2 8 10 15", 10, 5031520860, 89.0776, 5.64847e+07
 dfid , topSpinCompact16_4 , "0 1 2 6 5 4 3 7 8 9 10 14 13 12 11 15", 2, 76, 4e-06, 1.9e+07
 dfid , topSpinCompact16_4 , "11 12 0 14 1 2 10 7 4 3 9 6 5 8 13 15", na, na, na, na
 dfid , topSpinCompact16_4 , "7 14 8 1 12 0 3 6 11 13 4 5 2 10 9 15", na, na, na, na
 dfid , topSpinCompact16_4 , "14 8 9 0 3 4 5 1 2 6 7 11 12 13 10 15", 6, 603252, 0.008915, 6.76671e+07
 dfid , topSpinCompact16_4 , "11 2 13 4 3 9 8 12 0 5 6 7 10 1 14 15", 8, 44841394, 0.668283, 6.70994e+07
 dfid , topSpinCompact16_4 , "13 1 9 10 12 2 6 11 7 8 5 3 14 4 0 15", 10, 1192490663, 18.805, 6.34134e+07
