grupo, algorithm, domain, instance, cost, generated, time, gen_per_sec
1, dfid , 11puzzle , "7 6 4 10 1 2 9 3 5 11 B 8", 28, 156674353, 2.38591, 6.56665e+007
1, dfid , 11puzzle , "1 2 B 3 6 5 7 8 11 4 9 10", 22, 2316397, 0.0337025, 6.87306e+007
1, dfid , 11puzzle , "3 1 2 6 B 5 10 4 11 8 9 7", 14, 46134, 0.000696638, 6.62238e+007
1, dfid , 11puzzle , "3 2 B 6 1 5 10 4 8 7 9 11", 10, 1792, 4.1534e-005, 4.31454e+007
1, dfid , 11puzzle , "3 2 5 4 1 8 6 7 11 9 B 10", 8, 677, 1.96342e-005, 3.44806e+007
1, dfid , 11puzzle , "5 8 2 3 6 1 4 11 B 9 7 10", 28, 130015074, 1.95588, 6.6474e+007
1, dfid , 11puzzle , "5 6 1 3 B 8 9 2 4 10 7 11", 20, 1212836, 0.0189327, 6.40604e+007
1, dfid , 11puzzle , "5 3 8 1 B 11 6 2 4 9 7 10", 22, 4036753, 0.0600358, 6.72391e+007
1, dfid , 11puzzle , "1 4 2 3 7 5 6 10 8 9 B 11", 4, 68, 5.28614e-006, 1.28638e+007
1, dfid , 11puzzle , "4 3 2 1 7 5 B 11 10 6 9 8", 16, 134774, 0.00196909, 6.84449e+007
1, dfid , 11puzzle , "3 1 2 7 6 8 5 4 11 9 B 10", 14, 22469, 0.000349263, 6.43326e+007
1, dfid , 11puzzle , "1 2 B 3 4 5 6 7 8 9 10 11", 2, 4, 1.51033e-006, 2.64844e+006
